date,air_quality_pm2_5,air_quality_pm10,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_carbon_monoxide,air_quality_ammonia,air_quality_aerosol_optical_depth,air_quality_dust,air_quality_uv_index,day,hour,dayofweek,avg_pm
2025-10-23 19:00:00,67.5,75.2,50.0,31.5,9.6,639.0,,0.28,14.0,0.0,23,19,3,71.35
2025-10-23 19:00:00,69.8,77.5,45.0,32.5,9.8,721.0,,0.3,14.0,0.0,23,19,3,73.65
2025-10-23 19:00:00,73.1,80.8,42.0,32.1,9.7,775.0,,0.31,14.0,0.0,23,19,3,76.95
2025-10-23 19:00:00,74.0,82.0,40.0,28.8,9.2,777.0,,0.31,13.0,0.0,23,19,3,78.0
2025-10-23 19:00:00,69.2,76.4,40.0,24.1,8.4,751.0,,0.31,12.0,0.0,23,19,3,72.8
2025-10-23 19:00:00,81.7,90.1,28.0,35.0,9.9,726.0,,0.3,16.0,0.0,23,19,3,85.899994
2025-10-23 19:00:00,71.0,77.5,30.0,29.7,9.0,724.0,,0.3,13.0,0.0,23,19,3,74.25
2025-10-23 19:00:00,59.8,65.2,34.0,22.1,7.8,722.0,,0.29,9.0,0.15,23,19,3,62.5
2025-10-23 19:00:00,48.1,51.8,45.0,15.5,6.9,686.0,,0.29,7.0,0.85,23,19,3,49.949997
2025-10-23 19:00:00,38.5,41.9,67.0,10.7,6.6,580.0,,0.29,7.0,2.35,23,19,3,40.2
2025-10-23 19:00:00,32.9,37.6,95.0,6.8,6.6,438.0,,0.29,9.0,4.3,23,19,3,35.25
2025-10-23 19:00:00,29.7,35.4,119.0,3.9,6.6,329.0,,0.29,11.0,5.95,23,19,3,32.550003
2025-10-23 19:00:00,27.9,34.5,135.0,2.1,6.5,278.0,,0.29,12.0,6.6,23,19,3,31.2
2025-10-23 19:00:00,25.2,32.2,145.0,1.4,6.4,260.0,,0.3,14.0,5.95,23,19,3,28.7
2025-10-23 19:00:00,23.8,31.0,150.0,1.7,6.3,266.0,,0.3,14.0,4.35,23,19,3,27.4
2025-10-23 19:00:00,23.3,30.2,147.0,2.8,6.1,298.0,,0.29,13.0,2.45,23,19,3,26.75
2025-10-23 19:00:00,24.2,30.2,138.0,4.9,5.8,354.0,,0.29,11.0,0.9,23,19,3,27.2
2025-10-23 19:00:00,29.5,35.6,123.0,9.7,6.1,416.0,,0.29,12.0,0.15,23,19,3,32.55
2025-10-23 19:00:00,38.1,43.7,107.0,17.2,6.9,488.0,,0.29,12.0,0.0,23,19,3,40.9
2025-10-23 19:00:00,48.4,53.9,86.0,27.7,8.0,567.0,,0.28,11.0,0.0,23,19,3,51.15
2025-10-23 19:00:00,60.5,66.1,67.0,36.2,9.1,619.0,,0.27,11.0,0.0,23,19,3,63.3
2025-10-23 19:00:00,72.2,78.0,55.0,40.6,10.0,619.0,,0.27,11.0,0.0,23,19,3,75.1
2025-10-23 19:00:00,79.9,85.9,46.0,43.0,10.8,592.0,,0.28,11.0,0.0,23,19,3,82.9
2025-10-23 19:00:00,85.0,91.0,39.0,44.8,11.4,589.0,,0.3,11.0,0.0,23,19,3,88.0
2025-10-23 19:00:00,88.0,94.1,32.0,46.9,11.7,642.0,,0.31,11.0,0.0,23,19,3,91.05
2025-10-23 19:00:00,90.3,96.4,26.0,48.5,11.7,717.0,,0.32,11.0,0.0,23,19,3,93.350006
2025-10-23 19:00:00,93.1,99.0,22.0,48.1,11.5,764.0,,0.33,11.0,0.0,23,19,3,96.05
2025-10-23 19:00:00,95.5,101.3,21.0,45.0,11.0,754.0,,0.34,11.0,0.0,23,19,3,98.4
2025-10-23 19:00:00,92.2,98.0,23.0,40.1,10.2,717.0,,0.35,10.0,0.0,23,19,3,95.1
