pm2_5,pm10,ozone,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,timestamp,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,precipitation
20.0,28.7,74.0,198.0,5.3,2.9,2024-06-29 00:00:00,33.3,59,996.3,13.4,185,0.0
19.8,28.7,74.0,179.0,4.8,3.3,2024-06-29 01:00:00,32.9,61,996.0,12.3,195,0.0
19.9,29.0,73.0,166.0,4.5,3.8,2024-06-29 02:00:00,32.5,64,995.7,12.6,193,0.0
19.8,29.2,70.0,162.0,4.8,4.4,2024-06-29 03:00:00,32.3,65,995.7,14.1,184,0.0
19.4,29.1,67.0,163.0,5.4,5.1,2024-06-29 04:00:00,32.0,66,996.1,12.6,185,0.0
19.6,30.3,65.0,167.0,5.9,4.7,2024-06-29 05:00:00,31.8,68,996.5,12.7,188,0.0
19.6,30.2,69.0,170.0,5.4,5.1,2024-06-29 06:00:00,31.6,68,996.9,11.2,186,0.0
20.0,32.1,74.0,173.0,4.6,5.6,2024-06-29 07:00:00,32.6,64,997.3,11.6,187,0.0
18.7,33.1,81.0,176.0,3.8,5.7,2024-06-29 08:00:00,34.1,58,997.4,9.9,199,0.0
17.6,31.4,91.0,176.0,2.9,5.0,2024-06-29 09:00:00,35.7,52,997.5,7.9,196,0.0
18.5,32.4,103.0,176.0,2.0,3.8,2024-06-29 10:00:00,37.2,47,997.3,6.8,183,0.0
20.3,37.1,112.0,177.0,1.3,2.9,2024-06-29 11:00:00,38.7,42,997.1,7.4,166,0.0
22.3,41.8,117.0,182.0,1.0,2.4,2024-06-29 12:00:00,40.0,38,996.4,8.5,152,0.0
23.3,44.1,120.0,188.0,1.0,2.0,2024-06-29 13:00:00,40.9,36,995.7,9.0,143,0.0
23.9,45.4,121.0,193.0,1.0,1.8,2024-06-29 14:00:00,41.6,34,994.6,8.7,142,0.0
23.7,45.5,122.0,190.0,0.7,1.6,2024-06-29 15:00:00,42.0,33,993.7,9.0,143,0.0
23.0,44.4,122.0,185.0,0.4,1.5,2024-06-29 16:00:00,42.0,33,992.9,9.5,151,0.0
33.8,62.4,125.0,213.0,1.7,1.4,2024-06-29 17:00:00,41.7,33,992.6,13.7,162,0.0
33.6,62.2,112.0,278.0,7.1,1.7,2024-06-29 18:00:00,38.8,42,993.9,13.6,158,0.0
35.4,62.6,94.0,366.0,14.4,2.2,2024-06-29 19:00:00,37.8,44,994.6,12.3,165,0.0
38.9,65.4,80.0,415.0,18.8,2.4,2024-06-29 20:00:00,37.0,46,995.1,11.6,173,0.0
36.9,60.5,73.0,389.0,17.5,2.3,2024-06-29 21:00:00,36.3,48,995.6,16.2,181,0.0
30.9,48.5,71.0,324.0,13.2,2.0,2024-06-29 22:00:00,35.6,50,996.0,17.3,180,0.0
24.2,36.8,69.0,265.0,9.4,1.7,2024-06-29 23:00:00,35.1,51,996.5,15.3,188,0.0
19.5,29.3,69.0,225.0,7.1,1.5,2024-06-30 00:00:00,34.7,52,996.6,12.3,187,0.0
17.1,26.4,69.0,191.0,5.3,1.4,2024-06-30 01:00:00,34.4,53,996.1,12.5,198,0.0
16.0,26.5,68.0,168.0,4.4,1.6,2024-06-30 02:00:00,34.0,54,995.7,14.5,194,0.0
15.1,27.1,62.0,162.0,4.8,2.5,2024-06-30 03:00:00,33.5,57,995.7,12.3,185,0.0
14.3,27.8,54.0,166.0,6.1,3.8,2024-06-30 04:00:00,33.1,59,996.0,12.0,187,0.0
12.8,23.5,47.0,174.0,7.1,4.4,2024-06-30 05:00:00,32.9,59,996.1,12.7,188,0.0
12.2,24.3,46.0,179.0,6.9,4.9,2024-06-30 06:00:00,32.8,63,996.0,11.3,171,0.0
12.2,25.6,46.0,185.0,6.7,5.6,2024-06-30 07:00:00,33.4,62,996.5,13.1,171,0.0
12.8,28.1,51.0,187.0,6.0,6.0,2024-06-30 08:00:00,34.6,60,996.7,13.4,175,0.0
14.1,29.9,67.0,182.0,4.6,5.8,2024-06-30 09:00:00,36.3,53,996.8,12.3,175,0.0
16.4,33.5,88.0,174.0,2.8,5.3,2024-06-30 10:00:00,37.9,47,996.7,11.1,167,0.0
18.6,36.7,104.0,168.0,1.4,4.6,2024-06-30 11:00:00,39.3,43,996.4,11.0,161,0.0
20.8,39.5,109.0,167.0,0.9,3.8,2024-06-30 12:00:00,40.5,40,995.8,13.0,161,0.0
22.1,47.0,108.0,169.0,0.8,2.8,2024-06-30 13:00:00,41.4,37,995.0,14.0,168,0.0
21.1,52.7,107.0,170.0,0.9,2.1,2024-06-30 14:00:00,42.0,35,993.8,13.0,174,0.0
21.2,58.2,107.0,168.0,0.9,1.7,2024-06-30 15:00:00,42.3,34,992.7,10.5,172,0.0
20.5,58.6,106.0,167.0,1.0,1.6,2024-06-30 16:00:00,42.3,33,991.7,8.8,168,0.0
18.2,51.3,104.0,171.0,1.5,1.6,2024-06-30 17:00:00,42.3,33,991.1,8.6,165,0.0
18.2,49.0,99.0,184.0,2.8,1.7,2024-06-30 18:00:00,40.2,36,992.6,13.9,170,0.0
19.2,43.9,92.0,201.0,4.7,1.9,2024-06-30 19:00:00,39.5,38,992.8,15.0,159,0.0
20.0,39.7,86.0,211.0,5.8,1.9,2024-06-30 20:00:00,38.5,40,993.2,14.3,168,0.0
20.2,37.5,84.0,207.0,5.6,1.7,2024-06-30 21:00:00,38.0,41,993.3,10.7,166,0.0
20.6,36.2,84.0,196.0,4.8,1.4,2024-06-30 22:00:00,37.5,42,994.0,10.0,165,0.0
20.4,33.6,83.0,185.0,4.1,1.2,2024-06-30 23:00:00,36.7,43,994.4,19.1,168,0.0
19.7,31.2,80.0,177.0,3.9,1.1,2024-07-01 00:00:00,36.0,46,994.4,18.8,183,0.0
19.4,30.5,76.0,170.0,3.9,1.1,2024-07-01 01:00:00,35.6,47,993.9,17.5,188,0.0
18.9,30.0,71.0,165.0,4.0,1.3,2024-07-01 02:00:00,35.0,49,993.1,18.4,179,0.0
18.0,29.1,65.0,162.0,4.3,1.7,2024-07-01 03:00:00,33.7,56,992.9,19.5,182,0.0
16.7,28.1,58.0,161.0,4.7,2.2,2024-07-01 04:00:00,32.6,64,992.9,17.3,181,0.0
16.8,29.5,55.0,169.0,5.6,3.1,2024-07-01 05:00:00,32.0,68,993.1,16.5,164,0.0
15.9,30.4,54.0,178.0,5.8,4.0,2024-07-01 06:00:00,31.9,70,993.8,16.5,164,0.0
15.4,30.6,53.0,191.0,6.0,5.2,2024-07-01 07:00:00,32.4,69,993.9,17.3,163,0.0
15.4,32.6,58.0,199.0,5.7,6.3,2024-07-01 08:00:00,33.8,64,994.2,15.4,164,0.0
17.2,39.7,75.0,199.0,4.5,7.4,2024-07-01 09:00:00,35.9,56,994.2,14.8,162,0.0
